type,timestamp,price,gross_pnl,fee,net_pnl,capital_after
STOP,2018-01-02 16:00:00,13881.965057159643,-12.709338168660702,0.08252086283499678,-12.791859031495699,1251.863431247253
ENTRY,2018-01-02 20:00:00,14679.512533000001,0.0,0.07147122400048837,-0.07147122400048837,1251.7919600232524
EXIT,2018-01-04 08:00:00,14535.608009,-1.7515963909507692,0.07077058544410807,-1.8223669763948773,1249.9695930468574
ENTRY,2018-01-04 16:00:00,14899.658557,0.0,0.08955003301484503,-0.08955003301484503,1249.8800430138426
EXIT,2018-01-08 00:00:00,15665.668889,11.509701758918027,0.09415391371841224,11.415547845199615,1261.2955908590422
ENTRY,2018-02-09 16:00:00,8635.739945,0.0,0.04786337269896481,-0.04786337269896481,1261.2477274863434
EXIT,2018-02-21 20:00:00,10434.46872,24.92352314060376,0.05783278195520632,24.865690358648553,1286.113417844992
ENTRY,2018-02-27 04:00:00,10603.18,0.0,0.10904318526962326,-0.10904318526962326,1286.0043746597223
EXIT,2018-03-06 20:00:00,10713.265056,2.8302889220085006,0.11017530083842665,2.720113621170074,1288.7244882808925
ENTRY,2018-03-19 12:00:00,8552.565,0.0,0.08298195197878863,-0.08298195197878863,1288.6415063289137
EXIT,2018-03-23 00:00:00,8407.526985,-3.5181076074338025,0.08157470893581512,-3.5996823163696177,1285.041824012544
ENTRY,2018-03-23 20:00:00,8900.699409,0.0,0.11540003066408118,-0.11540003066408118,1284.9264239818801
STOP,2018-03-24 20:00:00,8501.691707534445,-12.933113137651443,0.11022678540902059,-13.043339923060463,1271.8830840588196
ENTRY,2018-04-03 20:00:00,7407.431563,0.0,0.11957809020365827,-0.11957809020365827,1271.7635059686158
STOP,2018-04-04 08:00:00,7090.149594102529,-12.804698758988767,0.11445621070006276,-12.91915496968883,1258.844350998927
ENTRY,2018-04-08 08:00:00,7101.979955,0.0,0.15079480423013197,-0.15079480423013197,1258.6935561946968
STOP,2018-04-09 08:00:00,6862.769434906357,-12.697763080108887,0.14571569899808842,-12.843478779106976,1245.8500774155898
ENTRY,2018-04-12 08:00:00,7692.307,0.0,0.13147534960783339,-0.13147534960783339,1245.718602065982
EXIT,2018-04-18 04:00:00,8104.797831,17.625523856416134,0.13852555915039985,17.486998297265735,1263.2056003632476
ENTRY,2018-04-18 08:00:00,8105.430899999999,0.0,0.17386436198078722,-0.17386436198078722,1263.0317360012668
EXIT,2018-04-26 08:00:00,8854.352897,40.161604851193744,0.18992900392126474,39.97167584727248,1303.0034118485394
ENTRY,2018-05-03 12:00:00,9445.112684,0.0,0.22512377100719463,-0.22512377100719463,1302.7782880775321
EXIT,2018-05-06 16:00:00,9545.145597,5.960698234321572,0.2275080503009233,5.733190184020648,1308.5114782615528
ENTRY,2018-05-06 20:00:00,9661.907703,0.0,0.19982590098393782,-0.19982590098393782,1308.3116523605688
STOP,2018-05-07 00:00:00,9406.010410224815,-13.23105867391869,0.19453347751437033,-13.425592151433062,1294.8860602091358
ENTRY,2018-05-21 04:00:00,8542.562,0.0,0.23050237751255773,-0.23050237751255773,1294.6555578316234
STOP,2018-05-21 12:00:00,8348.099675685713,-13.117852727045232,0.22525523642173964,-13.343107963466972,1281.3124498681564
ENTRY,2018-05-21 16:00:00,8370.690454,0.0,0.24046935270750502,-0.24046935270750502,1281.0719805154488
STOP,2018-05-22 08:00:00,8189.823840970942,-12.989632575862622,0.23527349967715996,-13.224906075539781,1267.847074439909
ENTRY,2018-05-30 04:00:00,7493.367335999999,0.0,0.17438835188104962,-0.17438835188104962,1267.6726860880278
STOP,2018-05-30 16:00:00,7273.270057334914,-12.805458467086538,0.169266168494215,-12.974724635580753,1254.697961452447
ENTRY,2018-05-30 20:00:00,7378.172788,0.0,0.1719249996121375,-0.1719249996121375,1254.526036452835
EXIT,2018-06-04 12:00:00,7494.740903,6.790628825729597,0.17464125114242932,6.615987574587168,1261.1420240274222
ENTRY,2018-06-19 04:00:00,6701.019703,0.0,0.2326965878094612,-0.2326965878094612,1260.9093274396128
STOP,2018-06-20 00:00:00,6553.783335124815,-12.7821592550592,0.22758372410743755,-13.009742979166639,1247.899584460446
ENTRY,2018-06-20 04:00:00,6629.9383849999995,0.0,0.2022440560553641,-0.2022440560553641,1247.6973404043906
STOP,2018-06-22 04:00:00,6464.364565091642,-12.6269351878926,0.19719328198020705,-12.824128469872807,1234.8732119345177
ENTRY,2018-06-30 04:00:00,6411.282807999999,0.0,0.14816408443169704,-0.14816408443169704,1234.725047850086
EXIT,2018-07-05 16:00:00,6508.3669039999995,5.609008613210069,0.15040768787698106,5.458600925333088,1240.183648775419
ENTRY,2018-07-05 20:00:00,6531.158759999999,0.0,0.1584134699207975,-0.1584134699207975,1240.0252353054982
EXIT,2018-07-10 04:00:00,6599.189649,4.125228609619154,0.16006356136464517,3.965165048254509,1243.9904003537526
ENTRY,2018-07-16 08:00:00,6637.560670999999,0.0,0.2745441289867878,-0.2745441289867878,1243.715856224766
EXIT,2018-07-21 00:00:00,7277.835994000001,66.2079940123118,0.30102732659171255,65.90696668572009,1309.622822910486
ENTRY,2018-07-21 08:00:00,7316.384257,0.0,0.18834047207754773,-0.18834047207754773,1309.4344824384086
EXIT,2018-07-26 20:00:00,7917.624000000001,38.69321684412032,0.20381775881519584,38.48939908530512,1347.9238815237138
ENTRY,2018-08-17 20:00:00,6586.465346999999,0.0,0.15189583603910717,-0.15189583603910717,1347.7719856876747
STOP,2018-08-18 12:00:00,6350.766331074471,-13.589116920621887,0.1464601892708584,-13.735577109892745,1334.036408577782
ENTRY,2018-08-18 16:00:00,6372.101056999999,0.0,0.1667566699818711,-0.1667566699818711,1333.8696519078
EXIT,2018-08-30 16:00:00,6807.937006,28.514359260588233,0.17816241368610639,28.336196846902126,1362.2058487547022
ENTRY,2018-08-30 20:00:00,6986.935452,0.0,0.22020934109446705,-0.22020934109446705,1361.9856394136077
EXIT,2018-09-05 08:00:00,6989.80243,0.22589851468128916,0.22029970050033953,0.005598814180949624,1361.9912382277887
ENTRY,2018-09-13 12:00:00,6481.9439999999995,0.0,0.26737603795615494,-0.26737603795615494,1361.7238621898325
STOP,2018-09-17 12:00:00,6347.965110407143,-13.816358437030301,0.2618494945813428,-14.078207931611644,1347.645654258221
ENTRY,2018-09-21 00:00:00,6556.66641,0.0,0.22771052620593074,-0.22771052620593074,1347.417943732015
EXIT,2018-09-24 04:00:00,6675.916624,10.353786239107283,0.23185204070157361,10.12193419840571,1357.5398779304205
ENTRY,2018-09-28 00:00:00,6704.270678,0.0,0.27888507429559883,-0.27888507429559883,1357.2609928561249
STOP,2018-09-28 16:00:00,6571.759986939457,-13.780489965392103,0.27337287830944196,-14.053862843701545,1343.2071300124232
ENTRY,2018-09-28 20:00:00,6636.570374,0.0,0.22994390242607188,-0.22994390242607188,1342.977186109997
STOP,2018-09-29 04:00:00,6479.556994994943,-13.600499605553726,0.22450370258385038,-13.825003308137576,1329.1521828018595
ENTRY,2018-09-29 08:00:00,6586.935488,0.0,0.21072860334419172,-0.21072860334419172,1328.9414541985152
EXIT,2018-09-30 04:00:00,6575.776675,-0.8924791668116804,0.21037161167746704,-1.1028507784891475,1327.838603420026
ENTRY,2018-10-01 20:00:00,6613.593483,0.0,0.3404145953047815,-0.3404145953047815,1327.4981888247212
